canonical_book_id,title,author,isbn,pages,publication_year,description,cover_url,openlibrary_work_id,openlibrary_edition_id,identity_method,identity_confidence,subjects,subject_people,subject_places,subject_times
book_ca5c4a4fd8bc3895,"Vasmora (The Eating Woods, #3)",Keri Lake,,,"Thu, 03 Sep 2026 09:46:57 -0700","<b>In the harrowing conclusion of The Eating Woods trilogy, an age-old prophecy will come to pass, plunging the immortal world into a blighted web of destruction and despair.</b><br /> <br /><br /><br />Fate has never been entirely kind to Maevyth Bronwick. Though, after having survived a sinister plague, grotesque monsters, and gut-wrenching tragedy, she never imagined things could possibly get worse. But cursed gods, she was wrong.<br /><br />It seems fate was only sharpening its claws. <br /><br />Ensnared in the golden gauntlet of the most sadistic general in Aethyria, Maevyth faces the wrath of a jealous tyrant who longs to watch her suffer a slow and painful ruin.<br /><br />A torment said to be worse than death.<br /><br />Without the protection of her blood magic, Maevyth is no more than a powerless mortal and must fight the urge to succumb to the cruelty. Not an easy task, given the devastating loss she refuses to accept—and rightly so.<br /><br />Because Zevander “The Scorpion” Rydainn isn’t dead, after all.<br /><br />He’s very much alive and seething with vengeance. Brimming with rage. Merciless in his pursuit to reclaim his beloved mate and bring the ancient godsflame to anyone who stands in his way.<br /><br />A necessary brutality when a slumbering god awakens and Aethyria’s foretold destruction reignites the hunt of those who seek Maevyth’s precious blood.<br /><br />Prophecies will unravel. Walls will crumble. Kingdoms will fall. And through it all, a monolith of truth stands unbroken:<br />Their love may conquer all, but death will tear them apart.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1784663561l/255744423._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_08edf7c3c2cfa011,"The Queen's Blade (The Broken Blade, #1)",Evelyn  Ward,,408.0,"Wed, 02 Sep 2026 16:21:20 -0700","<i>Go to sleep, or the Queen’s Blades will find you.<br />Be good, or the Queen’s Blades will get you.<br />Follow the edicts of the Goddess, or the Queen’s Blades will hunt you…<br />Will hurt you…<br />Will kill you…</i><br /><br />Every citizen in the realm knows Witches are the favored Faction. That’s why a Witch occupies the throne, and why the laws of the Eternal City grant Witches far more than their fair share.<br />And if any of the other Factions take issue with that? They’re likely to meet a swift death at the hands of the fabled Queen’s Blades, the four assassins vowed to protect the Queen and the realm itself.<br /><br />Even among the Queen’s Blades, Fey is an anomaly. As a Water Witch, her powers should have led her to a life of healing. But violence always came easier to Fey than healing ever did. The other Blades—three ruthless, savage Witches she is proud to call her sisters—love her all the more for it.<br /><br />But when one of the Blades is murdered, Fey becomes entangled in a mystery that threatens the very system she vowed to protect. And every clue she finds just raises more questions.<br />Who can she trust? What dark secrets are being kept from her and the other Blades? And perhaps the most dangerous question of who really killed her sister?<br /><br /><b>The Queen’s Blade is book one of The Broken Blade trilogy, a dark romantasy series with adult themes. Readers are advised this series contains adult content, strong language, and violence.</b>",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720911228l/216455312._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_03c5201fae64c170,Dangerous Men (Fortune City Mafia #1),Evelyn  Ward,,408.0,"Wed, 02 Sep 2026 16:21:18 -0700","<i>“Careful, Sydney. No one likes an angry woman.”</i><br /><br />Sydney Sinclair has spent her life trying to be good.<br /><br />And it hasn’t always been easy.<br /><br />Reeling from a bad breakup, Sydney’s life takes an unexpected turn when a night out with her best friend leads to an encounter with Alec, a wealthy and enigmatic businessman. Soon Sydney finds herself entangled not only with Alec, but also his charismatic business partner, Ashton, and their cold and menacing associate, Sebastian.<br /><br />As Sydney navigates this complex new relationship, she uncovers a dangerous world she never imagined lurked beneath Fortune City, forcing her to confront her own buried past and the violent person she once was.<br /><br /><b>Dangerous Men is book one of the Fortune City Mafia series, a dark “why choose” mafia romance with adult themes. Readers are advised this series contains adult content, strong language, and violence.</b>",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1746047437l/232488030._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_8121f75479b6ea4e,The Wicker Husband,Ursula  Wills,,14.0,"Fri, 07 Aug 2026 10:01:39 -0700","an ugly girl who was short and dumpy, had one leg a bit shorter than the other, and her eyebrows met in the middle wanted to marry. Who will marry her while all the people made fun of her?<br /><br />Then, she married the wicker husband. what happened when she married him? What was the people's reaction?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324128299l/13250089.jpg,,,title_author,medium,[],[],[],[]
book_03a0bf98fe8633bf,And So The Breaking Begins (Mindbreaker Duet #1; An Age of War and Prophecy #3),Lacey Lehotzky,,638.0,"Thu, 23 Jul 2026 17:29:03 -0700","<b>Duty. Desire. Defiance.</b><br /><br />Sylaira has spent her entire life running from the visions that torment her—and the crown who would cage her to control them. Her prophecies could decide life or death in the Angels’ war against the Demons.<br /><br />But Sylaira wants no part in the bloodshed.<br /><br />When the Angel monarchs send the realm’s deadliest killer to capture her, she knows the weaponization that awaits if she’s taken.<br /><br />Because her first vision was of <i>him</i>.<br /><br />Vaeron, the Mindbreaker. The monster sent to hunt her down. Her fated mate.<br /><br />Yet no matter how fast she flees, Sylaira can’t outrun destiny or the male bound to her.<br /><br />When Vaeron drags her to the Angel court, Sylaira learns its glitter hides a battlefield. And their bond is the sharpest weapon on it.<br /><br />She’d rather die than trust the male who stole her freedom. But Vaeron is the only one standing between her and those determined to exploit her Sight—even if protecting her means betraying everything he’s sworn to.<br /><br />The Goddess didn’t pair the most powerful Seer in centuries with the Mindbreaker out of mercy.<br /><br /><b>In the midst of war, one of them must break. </b><br /><br /><i>And So The Breaking Begins is the first book in the Mindbreaker Duet, a slow burn, enemies to lovers, high stakes dark fantasy romance with a villainous MMC and a fiery FMC. Perfect for fans of Carissa Broadbent, Raven Kennedy, and Sarah A Parker. </i><br /><br /><i>An Age of War and Prophecy is a series of interconnected duets and standalones with each book or duet having its own romance plot. The war plot requires full series commitment. You can start the series with either the Mindbreaker Duet or the Deathcaller Duet.</i><br /><br /><i>AAOWAP contains mature, dark themes that some readers might find disturbing. A full TW list is available on the author’s website.</i>",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1770546389l/239702507._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_ed64709bdc8c63d0,Horns of Wicked Ebony (Deathcaller Duet #2; An Age of War and Prophecy #2),Lacey Lehotzky,,740.0,"Thu, 23 Jul 2026 17:26:38 -0700","In the midst of war, love does not heal—it hunts. <br /><br />After surviving the brutal war camp and unraveling the cruel truths at the heart of Demon society, Assyria emerges not just as Rokath’s mate—but as a spark lit beneath centuries of carefully shaped stories. <br /><br />Assyria, the Imposter. A symbol of change. A symbol of hope. <br /><br />Veiled priestesses now bear swords. Forgotten daughters now wield power. And the army that once scorned Assyria must learn to kneel for her.<br /><br />But not everyone is ready to surrender. <br /><br />As Rokath struggles to hold a crumbling alliance together, old wounds crack open and long-buried truths rise. The three cousins who once shaped an obedient realm are now on the brink of war with one another. <br /><br />With the Angels preparing for another attack and the Demons fracturing from within, Rokath and Assyria must become more than lovers, more than leaders—they must become legends.<br /><br />Horns of Wicked Ebony is the second book in the Deathcaller Duet, an enemies to lovers, banter-filled high dark fantasy romance with a vicious, dangerous MMC and a fiery FMC. Perfect for fans of A Choice of Light and Dark, Carissa Broadbent, and LJ Andrews. An Age of War and Prophecy is a series of interconnected duets and standalones centering around the world-altering events of the Great War between the Angels and Demons. It contains mature, dark themes that some readers might find disturbing. A full TW list is available on the author’s website.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1752222347l/227886510._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_989353140568bae3,"All Your Bloody Lies (The Filthy Duet, #1)",M.L. Burns,,393.0,"Thu, 25 Jun 2026 21:50:19 -0700","<b>Xeraphine Nora</b><br />For a decade, revenge has consumed my every waking thought. My sole desire? To mete out even a fraction of the suffering inflicted upon me by those five individuals. They believed they could silence me forever, burying me alive and leaving me for dead. Little did they know, it takes more than mundane means to kill a demon. I’m coming for you all, my sweets.<br /><br /><b>Kairhyse Monroe</b><br />Finding the demon responsible for these murders is what brought me to her, but my obsession is what keeps me chasing. Oh, Xeraphine, if you believe you’ll find freedom from my grasp, you are truly mistaken. I’m coming for you, my little demon.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1745503078l/214348168._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_06ebe0d942dd7129,The Keyhole,Gigi Styx,,314.0,"Wed, 27 May 2026 14:55:30 -0700","Annalisa arrives at Rochester Manor, expecting a quiet job as a nanny. Instead, she’s drawn into a dark and dangerous affair with her mysterious employer, Edward Rochester.<br /><br />By day, Mr. Rochester is distant and formal. By night, he's a beast with depraved, unbridled appetites. The more Annalisa succumbs to his allure, the more she realizes he’s hiding something far worse than his desires. Strange noises, locked doors, and buried secrets leave her questioning not just her lover, but if she’ll make it out of the Manor alive.<br /><br />Caught in a web of passion, deception, and psychological unraveling, Annalisa must confront the horrifying truth about the man she can’t resist before it destroys her.<br /><br />Dark. Seductive. Twisted. The Keyhole will grip you from the first page to the last shocking twist.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1767107622l/241414344._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_d89052e4e6544ad3,"The Exorcism of Faeries (Morbid Realities, #1)",J.L. Vampa,,416.0,"Tue, 14 Apr 2026 21:06:59 -0700","<b>From the #1 bestselling author of <i>Autumn of the Grimoire, </i>J.L. Vampa, comes a brand new dark academia romance in the vein of <i>Ninth Hous</i>e meets <i>If We Were Villains </i>and <i>Nocticadia.</i></b><br /><br />She is the daughter of morticians, studying Botany at Trinity College, Dublin. He is her Morbid Anatomy professor. And the Fae are possessing the good people of Dublin. Only Atta and Professor Murdoch can exorcize the fae, but can they fight their forbidden feelings for one another in the process?<br /><br /><i>It is said they are but lore.<br />It is said they are but demons.<br />It is said this is but a plague.<br /><br />Wayward spirits.<br />Ghosts.<br />Spectres.<br />Ghouls.<br />The truth beckons<br />Tick flick tick<br />The clock keeps time with the candle<br />Until they all get sick<br />Wax slides down the gilded stick<br />And the Fae invade with bramble</i><br /><br />---------------------------------<br /><b>Trinity College, Dublin<br /><br />5th November, 1993</b><br /><br /><i>He always reads standing in front of the shelf, one hand shoved in his pocket until it’s time to flip the page. It’s the first thing I noticed about him, while I was supposed to be studying. Instead, I watched him move from shelf to shelf and book to book. I had no idea at the time that I would one day meet him and he would change everything.<br /><br /><u>We</u></i> would change everything.<br /><br />-Excerpt from the diary of Ariatne Morrow, found in the wreckage at Ground Zero",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738710957l/226661169._SY475_.jpg,,,title_author,medium,[],[],[],[]
book_47c06284d50da265,"Land of Wolves: Revelations (Land of Wolves, #1)",Invi Wright,,382.0,"Wed, 08 Apr 2026 19:06:49 -0700","<b>Evelyn intends to kill the man she’s destined to love.</b><br /><br />She’s the shifter alpha’s fated mate, and the red marking on her hand is the proof. Captured as a child and raised in a human government facility, she’s the weapon that will finally bring the shifters to their knees.<br /><br />Evelyn knows her purpose. Get close. Learn the alpha’s secrets. Then kill him.<br /><br />Sent into shifter territory under the guise of a failed kidnapping, she quickly finds herself in the presence of her mate—the elusive Alpha Knox. He’s feared, ruthless, and yet nothing like the monster she was taught to expect. Instead of brutality, he offers protection. Instead of cruelty, he offers patience.<br /><br />For the first time in her life, Evelyn begins to question who the real enemy is.<br /><br />If she accepts the mate bond, she betrays her people. If she completes her mission, she destroys the only man who has ever treated her like she matters.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1770208494l/245704928._SY475_.jpg,,,title_author,medium,[],[],[],[]
